[TRAIN_BEGIN] rows=24000 expected_steps~=1500 state.max_steps=1500 batch=4 grad_accum=4 epochs=1
[TRAIN_LOG] step=590/1500 | epoch=0.3933 | elapsed=108.5m | eta=167.4m | steps_per_sec=0.0906 | loss=0.018516 | lr=6.93e-05 | grad_norm=0.2236
[TRAIN_LOG] step=600/1500 | epoch=0.4000 | elapsed=110.4m | eta=165.5m | steps_per_sec=0.0906 | loss=0.019652 | lr=6.83e-05 | grad_norm=0.2168
[TRAIN_LOG] step=610/1500 | epoch=0.4067 | elapsed=112.2m | eta=163.6m | steps_per_sec=0.0906 | loss=0.018733 | lr=6.73e-05 | grad_norm=0.1348
[TRAIN_LOG] step=620/1500 | epoch=0.4133 | elapsed=114.0m | eta=161.8m | steps_per_sec=0.0906 | loss=0.014860 | lr=6.63e-05 | grad_norm=0.2461
[TRAIN_LOG] step=630/1500 | epoch=0.4200 | elapsed=115.8m | eta=160.0m | steps_per_sec=0.0906 | loss=0.016199 | lr=6.52e-05 | grad_norm=0.2617
[TRAIN_LOG] step=640/1500 | epoch=0.4267 | elapsed=117.7m | eta=158.1m | steps_per_sec=0.0906 | loss=0.014684 | lr=6.42e-05 | grad_norm=0.3066
[TRAIN_LOG] step=650/1500 | epoch=0.4333 | elapsed=119.5m | eta=156.3m | steps_per_sec=0.0906 | loss=0.016250 | lr=6.32e-05 | grad_norm=0.2031
[TRAIN_LOG] step=660/1500 | epoch=0.4400 | elapsed=121.4m | eta=154.5m | steps_per_sec=0.0906 | loss=0.014835 | lr=6.21e-05 | grad_norm=0.2051
[TRAIN_LOG] step=670/1500 | epoch=0.4467 | elapsed=123.2m | eta=152.6m | steps_per_sec=0.0906 | loss=0.017799 | lr=6.11e-05 | grad_norm=0.2363
[TRAIN_LOG] step=680/1500 | epoch=0.4533 | elapsed=125.0m | eta=150.8m | steps_per_sec=0.0906 | loss=0.015322 | lr=6.00e-05 | grad_norm=0.1641
[TRAIN_LOG] step=690/1500 | epoch=0.4600 | elapsed=126.9m | eta=149.0m | steps_per_sec=0.0906 | loss=0.012761 | lr=5.90e-05 | grad_norm=0.2139
[TRAIN_LOG] step=700/1500 | epoch=0.4667 | elapsed=128.7m | eta=147.1m | steps_per_sec=0.0906 | loss=0.012239 | lr=5.79e-05 | grad_norm=0.1406
[TRAIN_LOG] step=710/1500 | epoch=0.4733 | elapsed=130.6m | eta=145.3m | steps_per_sec=0.0906 | loss=0.012399 | lr=5.68e-05 | grad_norm=0.1914
[TRAIN_LOG] step=720/1500 | epoch=0.4800 | elapsed=132.4m | eta=143.4m | steps_per_sec=0.0906 | loss=0.013365 | lr=5.58e-05 | grad_norm=0.1582
[TRAIN_LOG] step=730/1500 | epoch=0.4867 | elapsed=134.2m | eta=141.6m | steps_per_sec=0.0906 | loss=0.016008 | lr=5.47e-05 | grad_norm=0.2793
[TRAIN_LOG] step=740/1500 | epoch=0.4933 | elapsed=136.0m | eta=139.7m | steps_per_sec=0.0907 | loss=0.017280 | lr=5.36e-05 | grad_norm=0.1729
[TRAIN_LOG] step=750/1500 | epoch=0.5000 | elapsed=137.9m | eta=137.9m | steps_per_sec=0.0907 | loss=0.012553 | lr=5.25e-05 | grad_norm=0.2793
[TRAIN_LOG] step=760/1500 | epoch=0.5067 | elapsed=139.7m | eta=136.0m | steps_per_sec=0.0907 | loss=0.013618 | lr=5.15e-05 | grad_norm=0.1924
[TRAIN_LOG] step=770/1500 | epoch=0.5133 | elapsed=141.6m | eta=134.2m | steps_per_sec=0.0907 | loss=0.013643 | lr=5.04e-05 | grad_norm=0.1318
[TRAIN_LOG] step=780/1500 | epoch=0.5200 | elapsed=143.4m | eta=132.3m | steps_per_sec=0.0907 | loss=0.012365 | lr=4.93e-05 | grad_norm=0.1445
[TRAIN_LOG] step=790/1500 | epoch=0.5267 | elapsed=145.2m | eta=130.5m | steps_per_sec=0.0907 | loss=0.012316 | lr=4.82e-05 | grad_norm=0.1475
[TRAIN_LOG] step=800/1500 | epoch=0.5333 | elapsed=147.0m | eta=128.6m | steps_per_sec=0.0907 | loss=0.011938 | lr=4.71e-05 | grad_norm=0.1475
[TRAIN_LOG] step=810/1500 | epoch=0.5400 | elapsed=148.9m | eta=126.8m | steps_per_sec=0.0907 | loss=0.015283 | lr=4.61e-05 | grad_norm=0.2207
[TRAIN_LOG] step=820/1500 | epoch=0.5467 | elapsed=150.7m | eta=125.0m | steps_per_sec=0.0907 | loss=0.010858 | lr=4.50e-05 | grad_norm=0.1602
[TRAIN_LOG] step=830/1500 | epoch=0.5533 | elapsed=152.6m | eta=123.2m | steps_per_sec=0.0907 | loss=0.011272 | lr=4.39e-05 | grad_norm=0.0757
[TRAIN_LOG] step=840/1500 | epoch=0.5600 | elapsed=154.4m | eta=121.3m | steps_per_sec=0.0907 | loss=0.015244 | lr=4.28e-05 | grad_norm=0.2090
[TRAIN_LOG] step=850/1500 | epoch=0.5667 | elapsed=156.3m | eta=119.5m | steps_per_sec=0.0907 | loss=0.014030 | lr=4.18e-05 | grad_norm=0.1191
[TRAIN_LOG] step=860/1500 | epoch=0.5733 | elapsed=158.1m | eta=117.7m | steps_per_sec=0.0907 | loss=0.013445 | lr=4.07e-05 | grad_norm=0.1943
[TRAIN_LOG] step=870/1500 | epoch=0.5800 | elapsed=159.9m | eta=115.8m | steps_per_sec=0.0907 | loss=0.011082 | lr=3.97e-05 | grad_norm=0.2188
[TRAIN_LOG] step=880/1500 | epoch=0.5867 | elapsed=161.7m | eta=114.0m | steps_per_sec=0.0907 | loss=0.011135 | lr=3.86e-05 | grad_norm=0.1562
